docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
SALAZAR SANCHEZ MARIA BERNARDA,"DISE~NO DE UN PROTOTIPO WEB PORTABLE PARA EL SENSADO, ADQUISICION Y VISUALIZACION DE DIFERENTES SE~NALES VIA REMOTA",Encuentro Internacional de Educacion en Ingenieria,2020,,,,,,,,"Agudelo, Juan Camilo Mesa and Lopez, Carolina Rodriguez and Sanchez, Maria Bernarda Salazar"
SALAZAR SANCHEZ MARIA BERNARDA,Medical Learning Tool for Ventilator Weaning Protocols.,Revista EIA,2020,jun,10.24050/reia.v17i34.1416,https://doi.org/10.24050%2Freia.v17i34.1416,Universidad EIA,17,34,,Juan Camilo Mesa Agudelo and Maria Bernarda Salazar Sanchez
SALAZAR SANCHEZ MARIA BERNARDA,Modeling of Heart Rate Variability and Respiratory Muscle Activity in Organophosphate Poisoned Patients.,IEEE journal of biomedical and health informatics,2019,01,10.1109/jbhi.2019.2894758,,,,,,Salazar Sanchez MB and Hernandez AM and Manyanas MA and Cortes Daza C
SALAZAR SANCHEZ MARIA BERNARDA,Potential clinical application of surface electromyography as indicator of neuromuscular recovery during weaning tests after organophosphate poisoning.,Revista Brasileira de terapia intensiva,2017,,10.5935/0103-507X.20170035,,,,,,Sánchez MBS and Valdivieso AMH and Villanueva MÁM and Salazar AFZ
SALAZAR SANCHEZ MARIA BERNARDA,"Effect of peep increase on respiratory muscle activity assessed through surface electromyography in healthy subjects during spontaneous breathing,Efeito do incremento da PEEP na atividade muscular respiratoria avaliado com eletromiografia de superficie em individuos saudaveis sob ventila?~ao espont^anea,Efecto del incremento de la PEEP en la actividad muscular respiratoria evaluado con electromiografia de superficie en individuos sanos bajo ventilacion espontanea",Iatreia,2016,,,,,29,3,280-291,"Hernandez-Valdivieso, A.M. and Salazar-Sanchez, M.B. and Muñoz-Ortega, I.C."
SALAZAR SANCHEZ MARIA BERNARDA,Virtual laboratory for simulation and learning of cardiovascular system function in BME studies,Revista Facultad de Ingenieria Universidad de Antioquia,2011,,,,Universidad de Antioquia,,60,194--201,"Valdivieso, Hernandez and Mauricio, Alher and Salazar Sanchez, Maria Bernarda and Urrego Higuita, David Alexander and Costa Castello, Ramon and Mañanas Villanueva, Miguel Angel"
BOTIA VALDERRAMA DIEGO JOSE LUIS,Two cluster validity indices for the LAMDA clustering method,Applied Soft Computing Journal,2020,,,,,89,,,"Valderrama, J.F.B. and Valderrama, D.J.L.B."
BOTIA VALDERRAMA DIEGO JOSE LUIS,On LAMDA clustering method based on typicality degree and intuitionistic fuzzy sets,Expert Systems with Applications,2018,,,,,107,,196-221,"Botia Valderrama, J.F. and Botia Valderrama, D.J.L."
BOTIA VALDERRAMA DIEGO JOSE LUIS,Nonintrusive Method Based on Neural Networks for Video Quality of Experience Assessment,Advances in Multimedia,2016,,,,,2016,,,"Botia Valderrama, D.J.L. and Gaviria Gomez, N."
DUITAMA MUNOZ JOHN FREDDY,A machine learning-based model for 1-year mortality prediction in patients admitted to an Intensive Care Unit with a diagnosis of sepsis,Medicina Intensiva,2020,apr,10.1016/j.medin.2018.07.016,https://doi.org/10.1016%2Fj.medin.2018.07.016,Elsevier BV,44,3,160--170,J.E. Garcia-Gallo and N.J. Fonseca-Ruiz and L.A. Celi and J.F. Duitama-Muñoz
DUITAMA MUNOZ JOHN FREDDY,Una propuesta para la clasificacion emocional de un album a partir de la letra de sus canciones,Revista Tecnura,2016,feb,10.14483/udistrital.jour.tecnura.2016.1.a05,https://doi.org/10.14483%2Fudistrital.jour.tecnura.2016.1.a05,Universidad Distrital Francisco Jose de Caldas,20,47,57,Francisco Javier Moreno Arboleda and John Freddy Duitama Muñoz and Luis Fernando Montoya Gomez
DUITAMA MUNOZ JOHN FREDDY,A Framework for the Generation of Adaptive Courses Based on Semantic Metadata,Multimedia Tools and Applications,2005,mar,10.1007/s11042-005-6541-8,https://doi.org/10.1007%2Fs11042-005-6541-8,Springer Science and Business Media LLC,25,3,377--390,Freddy Duitama and Bruno Defude and Amel Bouzeghoub and Claire Lecocq
ARIAS LONDONO JULIAN DAVID,Advances in Parkinsons Disease detection and assessment using voice and speech: A review of the articulatory and phonatory aspects,Biomedical Signal Processing and Control,2021,,,,,66,,,"Moro-Velazquez, L. and Gomez-Garcia, J.A. and Arias-Londoño, J.D. and Dehak, N. and Godino-Llorente, J.I."
ARIAS LONDONO JULIAN DAVID,On the design of automatic voice condition analysis systems. Part III: review of acoustic modelling strategies,Biomedical Signal Processing and Control,2021,,,,,66,,,"Gomez-Garcia, J.A. and Moro-Velazquez, L. and Arias-Londoño, J.D. and Godino-Llorente, J.I."
ARIAS LONDONO JULIAN DAVID,Artificial Intelligence Applied to Chest X-Ray Images for the Automatic Detection of COVID-19. A Thoughtful Evaluation Approach,IEEE Access,2020,,10.1109/access.2020.3044858,https://doi.org/10.1109%2Faccess.2020.3044858,Institute of Electrical and Electronics Engineers (IEEE),8,,226811--226827,Julian D. Arias-Londono and Jorge A. Gomez-Garcia and Laureano Moro-Velazquez and Juan I. Godino-Llorente
ARIAS LONDONO JULIAN DAVID,Common disbalance in the brain parenchyma of dementias: Phospholipid profile analysis between CADASIL and sporadic Alzheimers disease,Biochimica et Biophysica Acta - Molecular Basis of Disease,2020,,,,,1866,8,,"Sabogal-Guaqueta, A.M. and Arias-Londoño, J.D. and Gutierrez-Vargas, J. and Sepulveda-Falla, D. and Glatzel, M. and Villegas-Lanau, A. and Cardona-Gomez, G.P."
ARIAS LONDONO JULIAN DAVID,Differential Profile of Systemic Extracellular Vesicles From Sporadic and Familial Alzheimer?s Disease Leads to Neuroglial and Endothelial Cell Degeneration,Frontiers in Aging Neuroscience,2020,,,,,12,,,"Villar-Vesga, J. and Henao-Restrepo, J. and Voshart, D.C. and Aguillon, D. and Villegas, A. and Castaño, D. and Arias-Londoño, J.D. and Zuhorn, I.S. and Ribovski, L. and Barazzuol, L. and Cardona-Gomez, G.P. and Posada-Duque, R."
ARIAS LONDONO JULIAN DAVID,Multimodal and Multi-Output Deep Learning Architectures for the Automatic Assessment of Voice Quality Using the GRB Scale,IEEE Journal of Selected Topics in Signal Processing,2020,feb,10.1109/jstsp.2019.2956410,https://doi.org/10.1109%2Fjstsp.2019.2956410,Institute of Electrical and Electronics Engineers (IEEE),14,2,413--422,Julian D. Arias-Londono and Jorge A. Gomez-Garcia and Juan I. Godino-Llorente
ARIAS LONDONO JULIAN DAVID,Sentiment Analysis of News Articles in Spanish using Predicate Features,Lenguaje,2019,jul,10.25100/lenguaje.v47i2.7937,https://doi.org/10.25100%2Flenguaje.v47i2.7937,Universidad del Valle,47,2,235--267,Antonio Tamayo and Julian Arias Londoño and Diego Burgos and Gabriel Quiroz
ARIAS LONDONO JULIAN DAVID,Changes in the hippocampal and peripheral phospholipid profiles are associated with neurodegeneration hallmarks in a long-term global cerebral ischemia model: Attenuation by Linalool,Neuropharmacology,2018,,,,,135,,555-571,"Sabogal-Guaqueta, A.M. and Posada-Duque, R. and Cortes, N.C. and Arias-Londoño, J.D. and Cardona-Gomez, G.P."
ARIAS LONDONO JULIAN DAVID,Differential Pattern of Phospholipid Profile in the Temporal Cortex from E280A-Familiar and Sporadic Alzheimers Disease Brains,Journal of Alzheimers Disease,2018,,,,,61,1,209-219,"Villamil-Ortiz, J.G. and Barrera-Ocampo, A. and Arias-Londoño, J.D. and Villegas, A. and Lopera, F. and Cardona-Gomez, G.P."
ARIAS LONDONO JULIAN DAVID,Automatic detection of Parkinsons disease in running speech spoken in three different languages,The Journal of the Acoustical Society of America,2016,,,,,139,1,481--500,"Orozco-Arroyave, JR and  Hönig, F and  Arias-Londono, JD and  Vargas-Bonilla, JF and  Daqrouq, K and  Skodda, S and  Rusz, J and  Nöth, E"
