docente,DOI,URL,año,editorial,paginas,autores,nombre_del_capitulo,nombre_del_libro
DUITAMA MUNOZ JOHN FREDDY,10.1007/978-3-030-69774-7_7,https://doi.org/10.1007%2F978-3-030-69774-7_7,2021,Springer International Publishing,88--102,Angelower Santana-Velasquez and John Freddy Duitama M. and Julian D. Arias-Londoño,Automatic Classification of Diagnosis-Related Groups Using ANN and XGBoost Models,Applications of Computational Intelligence
DUITAMA MUNOZ JOHN FREDDY,10.1109/colcaci50549.2020.9247889,https://doi.org/10.1109%2Fcolcaci50549.2020.9247889,2020,IEEE,,Angelower Santana-Velasquez and M. John Freddy Duitama and Julian D. Arias-Londono,Classification of Diagnosis-Related Groups using Computational Intelligence Techniques,2020 IEEE Colombian Conference on Applications of Computational Intelligence (IEEE ColCACI 2020)
DUITAMA MUNOZ JOHN FREDDY,10.1007/978-981-10-9035-6_67,https://doi.org/10.1007%2F978-981-10-9035-6_67,2018,Springer Nature Singapore,367--370,Javier E. Garcia-Gallo and Nelson J. Fonseca-Ruiz and John F. Duitama-Muñoz,Scoring System for the One-Year Mortality Prediction of Sepsis Patients in Intensive Care Units,IFMBE Proceedings
DUITAMA MUNOZ JOHN FREDDY,10.1109/coniiti48476.2019.8960794,https://doi.org/10.1109%2Fconiiti48476.2019.8960794,2019,IEEE,,Jorge Andres Baena and John Freddy Duitama,Machine Learning-based Approach to Detect Online Performance Problems in Distributed Systems,2019 Congreso Internacional de Innovacion y Tendencias en Ingenieria (CONIITI )
DUITAMA MUNOZ JOHN FREDDY,10.1109/bibe.2019.00093,https://doi.org/10.1109%2Fbibe.2019.00093,2019,IEEE,,J.E Garcia-Gallo and N.J Fonseca-Ruiz and L.A Celi and J.F Duitama-Munoz,One-Year Mortality Prediction in ICU Patients with Diagnosis of Sepsis Driven by Population Similarities,2019 IEEE 19th International Conference on Bioinformatics and Bioengineering (BIBE)
DUITAMA MUNOZ JOHN FREDDY,10.1007/978-3-030-03023-0_12,https://doi.org/10.1007%2F978-3-030-03023-0_12,2018,Springer International Publishing,137--149,Mario Alberto Giraldo Londoño and John Freddy Duitama and Julian David Arias-Londoño,Cost-Balance Setting of MapReduce and Spark-Based Architectures for SVM,Applications of Computational Intelligence
DUITAMA MUNOZ JOHN FREDDY,10.1109/colcaci.2018.8484855,https://doi.org/10.1109%2Fcolcaci.2018.8484855,2018,IEEE,,Mario A. Giraldo and John F. Duitama and Julian D. Arias-Londono,MapReduce and Spark-based architecture for bi-class classification using SVM,2018 IEEE 1st Colombian Conference on Applications in Computational Intelligence (ColCACI)
DUITAMA MUNOZ JOHN FREDDY,10.1109/colcomcon.2017.8088206,https://doi.org/10.1109%2Fcolcomcon.2017.8088206,2017,IEEE,,German E. Melo-Acosta and Freddy Duitama-Munoz and Julian D. Arias-Londono,Fraud detection in big data using supervised and semi-supervised learning techniques,2017 IEEE Colombian Conference on Communications and Computing (COLCOM)
DUITAMA MUNOZ JOHN FREDDY,10.1007/978-3-642-35377-2_61,https://doi.org/10.1007%2F978-3-642-35377-2_61,2012,Springer Berlin Heidelberg,438--445,Javier Dario Fernandez and Maria Visitacion Hurtado and Jose Luis Garrido and Manuel Noguera and John Freddy Duitama,A Metaprocesses-Oriented Methodology for Software Assets Reuse in the e-Health Domain,Ubiquitous Computing and Ambient Intelligence
DUITAMA MUNOZ JOHN FREDDY,10.1007/11763864_23,https://doi.org/10.1007%2F11763864_23,2006,Springer Berlin Heidelberg,312--325,V. Cechticky and M. Egli and A. Pasetti and O. Rohlik and T. Vardanega,A UML2 Profile for Reusable and Verifiable Software Components for Real-Time Applications,Lecture Notes in Computer Science
