Docente,nombre_del_capitulo,nombre_del_libro,pais,año,editorial,paginas
SALAZAR SANCHEZ MARIA BERNARDA,Learning Tool for Mechanical Ventilation during Spontaneous Breathing Test on Patients Intoxicated with Pesticides,VII Latin American Congress on Biomedical Engineering CLAIB 2016,Colombia,2016,Springer Publishing Company,248 - 251  IFMBE
SALAZAR SANCHEZ MARIA BERNARDA,Areas with the Highest Use of Simulator for Health Education in Colombia,WEA 2019: Applied Computer Sciences in Engineering,Colombia,2019,Springer Verlag Publishing Company,643 - 652  1052
SALAZAR SANCHEZ MARIA BERNARDA,Web Application for the Teaching of Anatomy and Physiology of the Respiratory System: Usability Measurement and Metrics,WEA 2020: Applied Computer Sciences in Engineering,Colombia,2020,Springer Verlag Publishing Company,409 - 420
SALAZAR SANCHEZ MARIA BERNARDA,"DISEÑO DE UN PROTOTIPO WEB PORTABLE PARA EL SENSADO, ADQUISICIÓN Y VISUALIZACIÓN DE DIFERENTES SEÑALES VÍA REMOTA",¿LA FORMACIÓN DE INGENIEROS: UN COMPROMISO PARA EL DESARROLLO Y LA SOSTENIBILIDAD¿,Colombia,2020,Acofi Icfes,279 -
SALAZAR SANCHEZ MARIA BERNARDA,Work of Breathing Estimation during Spontaneous Breathing Test using Machine Learning Techniques,"2020 IEEE Colombian Conference on Applications of Computational Intelligence, ColCACI 2020 - Proceedings",Colombia,2020,IEEE Publications,1 - 6
DUITAMA MUNOZ JOHN FREDDY,Cost-Balance Setting of MapReduce and Spark-Based Architectures for SVM,Applications of computational intelligence,Suiza,2018,Springer Verlag Publishing Company,137 - 149
DUITAMA MUNOZ JOHN FREDDY,Automatic Classification of Diagnosis-Related Groups Using ANN and XGBoost Models,Applications of Computational Intelligence,Colombia,2021,Springer Verlag Publishing Company,88 - 102  1
COBALEDA ESTEPA LUZ VIVIANA,MEDin Health Networking Everyone Everyday,Senseable City Guide To Medellín,Colombia,2013,,35 - 50
COBALEDA ESTEPA LUZ VIVIANA,Definición de la arquitectura de referencia de un dominio: de la elucidación al modelado,International Conference on IT Convergence and Security,Colombia,2018,IEEE Publications,193 - 210
COBALEDA ESTEPA LUZ VIVIANA,"Selección, personalización y aumento de componentes reutilizables de dominio para cada aplicación.",International Conference on IT Convergence and Security,Colombia,2018,IEEE Publications,447 - 458
COBALEDA ESTEPA LUZ VIVIANA,Definición de la arquitectura de referencia de un dominio: de la elucidación al modelado. ,International Conference on IT Convergence and Security,Colombia,2018,IEEE Publications,193 - 210
COBALEDA ESTEPA LUZ VIVIANA,Definición y personalización de la arquitectura de cada producto de la línea.,International Conference on IT Convergence and Security,Colombia,2018,IEEE Publications,433 - 446
ARIAS LONDONO JULIAN DAVID,Fail Detection in WfM/BPM Systems from Event Log Sequences Using HMM-Type Models,ColCACI 2019: Applications of Computational Intelligence,Estados Unidos,2019,Springer Verlag Publishing Company,223 - 234  CIS
ARIAS LONDONO JULIAN DAVID,Predicting UPDRS Scores in Parkinson¿s Disease Using Voice Signals: A Deep Learning/Transfer-Learning-Based Approach,Automatic Assessment of Parkinsonian Speech,Alemania,2019,Springer-Verlag Berlin/Heidelberg,100 - 123  N/A
PEREZ PATINO ANA LUCIA,Difusión de innovación y crecimiento de firmas de software estandarizado: una revisión de la literatura,Innovación Para La Competitividad Y El Crecimiento De La Industria Colombiana De Software,Colombia,2012,Todográficas,21 -
PEREZ PATINO ANA LUCIA,Framework para simulación de la difusión de productos de software estandarizado bajo el modelo SaaS,Innovación Para La Competitividad Y El Crecimiento De La Industria Colombiana De Software,Colombia,2012,Todográficas,197 - 215  NA
PEREZ PATINO ANA LUCIA,Difusión de innovación y crecimiento de firmas de software estandarizado: una revisión de la literatura. En: Innovación para la competitividad y el crecimiento de la industria colombiana de software. Medellín: Todográficas Ltda. ISBN:,Innovación Para La Competitividad Y El Crecimiento De La Industria Colombiana De Software,Colombia,2012,Todográficas,21 - 44  NA
PEREZ PATINO ANA LUCIA,Capítulo 6: ESTIMACIÓN DE ESFUERZO EN PROYECTOS DE DESARROLLO DE SOFTWARE. UN NUEVO MODELO PARA ESTIMACIÓN TEMPRANA.,Sistemas Computacionales,Colombia,2008,Sello Editorial Universidad De Medellin,111 - 150  1
PEREZ PATINO ANA LUCIA,Modelamiento y simulación de la competencia entre Firmas Pioneras y de Ingreso Tardío en mercados de software.,Gestión De Las Capacidades De Innovación Tecnológica Para La Competitividad De Las Empresas Antioqueñas De Software,Colombia,2010,Aciem Universidad Nacional De Colombia,1 - 200  1
RAMOS POLLAN RAUL,Multidisciplinary Collaboration for the Development of Innovative Solutions in Health Care: The Case of the IMED Project,Challenges And Opportunities In Health Care Management,Colombia,2014,,363 - 370
RAMOS POLLAN RAUL,Multidisciplinary Collaboration for the Development of Innovative Solutions in Health Care: The Case of the IMED Project,Challenges And Opportunities In Health Care Management,Suiza,2014,,363 - 370
RAMOS POLLAN RAUL,Supervised Greedy Layer-Wise Training for Deep Convolutional Networks with Small Datasets,"Computational Collective Intelligence: 7th International Conference, ICCCI 2015, Madrid, Spain, September 21-23, 2015, Proceedings, Part I (Lecture Notes in Computer Science)",Colombia,2015,Springer Publishing Company,275 - 288
BOTIA VALDERRAMA JAVIER FERNANDO,Q-means clustering coherent noise tolerance analysis,Engineering for Transformation,Colombia,2022,Fondo Editorial EIA,437 - 443
MARCELES VILLALBA KATERINE,", TECNOLOGIAS DEL APRENDIZAJE Y CONOCIMIENTO (TAC), POR MEDIO DE LA MODALIDAD B-LEARNING, PARA EL DESARROLLO DE UN OVA; COMO APORTE A LA SOCIEDAD DEL CONOCIMIENTO",Las Instituciones Educativas: Eslabones Vitales,Colombia,2015,,337 - 353
MARCELES VILLALBA KATERINE,Herramienta TIC enfocada al manejo adecuado del sembrado del Café: Coffe Fun,Memorias del seminario de innovaciones educativas y MOOC - SINNEM18,Colombia,2018,Centro Interamericano De Desarrollo E Investigacion Ambiental Y Territorial Cidiat,138 - 139
MARCELES VILLALBA KATERINE,Implementación de una estrategia didáctica para el manejo de residuos en el proceso de formación de básica primaria,Ingeniería Colaborativa aplicaciones y uso desde la perspectiva de la interacción Humano Computador,Colombia,2019,Editorial Bonaventuriana,498 - 506
MARCELES VILLALBA KATERINE,"Hero Test: Instrumento portable e interactivo de tamizaje auditivo, basado en metodología SUM",Serious Applications of Technology in Games and Health,Colombia,2019,,137 - 147  N/A
MARCELES VILLALBA KATERINE,Serious game for learning sign language in Colombia,Serious Applications of Technology in Games and Health,Colombia,2019,,51 - 61  N/A
MARCELES VILLALBA KATERINE,Disminuyendo la brecha comunicacional con Beeth - Ear,Serious Applications of Technology in Games and Health,Colombia,2019,,127 - 137  N/A
MARCELES VILLALBA KATERINE,SAT EL OJITO,TECNOLOGÍAS APLICADAS A LA COMUNIDAD,España,2022,,24 - 32  1
MARCELES VILLALBA KATERINE,"Crown The Virus, juego serio basado en metodología ágil para aprender de la crisis COVID-19",TECNOLOGÍAS APLICADAS A LA COMUNIDAD,España,2022,,6 - 23  1
MARCELES VILLALBA KATERINE,Aplicación web basada en tecnologia arduino y nfc para el registro y control de los biciusuarios: Unimayor biciapp,Tecnologías informáticas con enfoque social,España,2023,,5 - 18  1
MARCELES VILLALBA KATERINE,CO. EDUCATION: Herramienta Gamificada Basada en SCRUM para la enseñanza de ?Lengua Castellana? en niños con edades de 9 a 13 años de edad,Tecnologías informáticas con enfoque social,España,2023,,50 - 65  1
MARCELES VILLALBA KATERINE,Alfabetización Digital ¿AD¿,EDUCACIÓN CIENTÍFICA E INCLUSIÓN SOCIODIGITAL,Argentina,2017,Universidad De Alcala,928 - 945
MARCELES VILLALBA KATERINE,"GLOBALIZACIÓN Y EDUCACIÓN, UNA REFLEXIÓN HACIA LAS PERSPECTIVAS PARA UNA REVISIÓN DE LA RELACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN (TIC) Y LA SOCIEDAD","¿ Apropiación, generación y uso edificador del conocimiento: ¿Reflexiones, investigaciones, programas, modelos, enfoques, tendencias, perspectivas, estrategias y metodologías, proyectos pedagógicos e investigativos¿",Colombia,2018,,406 - 411
MARCELES VILLALBA KATERINE,Inclusión de aplicativos móviles e procesos de aprendizaje en el área de seguridad informática,"¿ Apropiación, generación y uso edificador del conocimiento: ¿Reflexiones, investigaciones, programas, modelos, enfoques, tendencias, perspectivas, estrategias y metodologías, proyectos pedagógicos e investigativos¿",Colombia,2017,,-- - ---  --
MARCELES VILLALBA KATERINE,Reflexiones integradoras en procesos de investigación y el aporte que realiza colciencias a los grupos de investigación en la educación superior,"¿ Apropiación, generación y uso edificador del conocimiento: ¿Reflexiones, investigaciones, programas, modelos, enfoques, tendencias, perspectivas, estrategias y metodologías, proyectos pedagógicos e investigativos¿",Colombia,2017,,45 - 55
MARCELES VILLALBA KATERINE,Recycling: A Serious Game Focused on the Classification of Waste,"Telematics and Computing: 7th International Congress, WITCOM 2018, Mazatlán, Mexico, November 5-9, 2018, Proceedings (Communications in Computer and Information Science)",México,2018,Springer-Verlag Berlin/Heidelberg,234 - 245
MARCELES VILLALBA KATERINE,Cryptanalysis of the RSA Algorithm Under a System Distributed Using SBC Devices,"Telematics and Computing: 7th International Congress, WITCOM 2018, Mazatlán, Mexico, November 5-9, 2018, Proceedings (Communications in Computer and Information Science)",Colombia,2018,Springer-Verlag Berlin/Heidelberg,14 - 23
