docente,nombre_del_capitulo,nombre_del_libro,pais,año,editorial,paginas,ISBN
SALAZAR SANCHEZ MARIA BERNARDA,Learning Tool for Mechanical Ventilation during Spontaneous Breathing Test on Patients Intoxicated with Pesticides,VII Latin American Congress on Biomedical Engineering CLAIB 2016 .,Colombia,2016,Springer Publishing Company,248 - 251  IFMBE,978-981-10-4085-6
SALAZAR SANCHEZ MARIA BERNARDA,Areas with the Highest Use of Simulator for Health Education in Colombia,WEA 2019: Applied Computer Sciences in Engineering .,Colombia,2019,Springer Verlag Publishing Company,643 - 652  1052,9783030310196
SALAZAR SANCHEZ MARIA BERNARDA,Web Application for the Teaching of Anatomy and Physiology of the Respiratory System: Usability Measurement and Metrics,WEA 2020: Applied Computer Sciences in Engineering .,Colombia,2020,Springer Verlag Publishing Company,409 - 420,978-3-030-61833-9
SALAZAR SANCHEZ MARIA BERNARDA,"DISEÑO DE UN PROTOTIPO WEB PORTABLE PARA EL SENSADO, ADQUISICIÓN Y VISUALIZACIÓN DE DIFERENTES SEÑALES VÍA REMOTA",¿LA FORMACIÓN DE INGENIEROS: UN COMPROMISO PARA EL DESARROLLO Y LA SOSTENIBILIDAD¿ .,Colombia,2020,Acofi Icfes,279 -,9789586800884
SALAZAR SANCHEZ MARIA BERNARDA,Work of Breathing Estimation during Spontaneous Breathing Test using Machine Learning Techniques,"2020 IEEE Colombian Conference on Applications of Computational Intelligence, ColCACI 2020 - Proceedings .",Colombia,2020,IEEE Publications,1 - 6,9781728194066
MUNERA RAMIREZ DANNY ALEXANDRO,Parallel Local Search,Handbook of Parallel Constraint Reasoning .,Alemania,2018,Springer Publishing Company,381 - 417,978-3-319-63515-6
MUNERA RAMIREZ DANNY ALEXANDRO,Low Power Design Techniques for Wireless Sensors Networks,"Emerging Technologies In Wireless Ad-Hoc Networks,. Applications And Future Development .",Estados Unidos,2011,Ieee The Institute Of Electrical And Electronics Engineers,15 - 40,978-1-60960-027-3
MUNERA RAMIREZ DANNY ALEXANDRO,Weaving of Metaheuristics with Cooperative Parallelism,Parallel Problem Solving from Nature ¿ PPSN XV .,Suiza,2018,Springer-Verlag Berlin/Heidelberg,436 - 448  0302-,978-3-319-99252-5
MUNERA RAMIREZ DANNY ALEXANDRO,Low Power Design Techniques for Wireless Sensors Networks,"Emerging Technologies In Wireless Ad-Hoc Networks,. Applications And Future Development .",Estados Unidos,2011,Ieee The Institute Of Electrical And Electronics Engineers,15 - 40,1-60960-027-4
MARCELES VILLALBA KATERINE,Implementación de una estrategia didáctica para el manejo de residuos en el proceso de formación de básica primaria,Ingeniería Colaborativa aplicaciones y uso desde la perspectiva de la interacción Humano Computador .,Colombia,2019,Editorial Bonaventuriana,498 - 506,978-958-8414-57-9
