docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
MERA BANGUERO CARLOS ANDRES,Antimicrobial peptides designed by computational analysis of proteomes,Antonie van Leeuwenhoek,2024,,10.1007/s10482-024-01946-0,https://doi.org/10.1007/s10482-024-01946-0,,,,,Dahiana Monsalve; Andrea Mesa; Laura M. Mira; Carlos Mera; Sergio Orduz; John W. Branch-Bedoya
MERA BANGUERO CARLOS ANDRES,Generación de péptidos antimicrobianos mediante redes neuronales recurrentes,DYNA,2021,,10.15446/dyna.v88n216.88799,https://doi.org/10.15446/dyna.v88n216.88799,,,,,Andres Veléz; Carlos Andres Mera; Sergio Orduz; John Willian Branch
MERA BANGUERO CARLOS ANDRES,Visualización de conjuntos de datos de múltiples instancias,Risti,2020,,10.17013/risti.39.84-99,http://www.scielo.mec.pt/pdf/rist/n39/n39a07.pdf,,,,,
MERA BANGUERO CARLOS ANDRES,Evaluation of Weakly Supervised Learning Paradigms on Automatic Visual Inspection,IEEE Latin America Transactions,2020,jun,10.1109/tla.2020.9099678,https://doi.org/10.1109%2Ftla.2020.9099678,Institute of Electrical and Electronics Engineers (IEEE),18,06,1017--1025,Jose Arrieta and Carlos Mera and Albeiro Espinosa
MERA BANGUERO CARLOS ANDRES,A Method for Assessing the Accessibility and Usability in Mobile Applications,TecnoLógicas,2020,,10.22430/22565337.1553,https://revistas.itm.edu.co/index.php/tecnologicas/article/view/1553,,,,,
MERA BANGUERO CARLOS ANDRES,Incremental learning of concept drift in Multiple Instance Learning for industrial visual inspection,Computers in Industry,2019,,10.1016/j.compind.2019.04.006,http://dx.doi.org/10.1016/j.compind.2019.04.006,,,,,
MERA BANGUERO CARLOS ANDRES,Assessment of segmentation methods for pore detection in cellular concrete images,"2019 XXII Symposium on Image, Signal Processing and Artificial Vision (STSIVA)",2019,,10.1109/stsiva.2019.8730220,http://dx.doi.org/10.1109/stsiva.2019.8730220,,,,,
MERA BANGUERO CARLOS ANDRES,Diseño y evaluación de una máquina de inteligencia artificial para la predicción de péptidos antimicrobianos a partir de secuencias de proteínas,Infectio,2018,,0123-9392,http://www.revistainfectio.org/index.php/infectio/issue/view/91,,,,,
MERA BANGUERO CARLOS ANDRES,Automatic visual inspection: An approach with multi-instance learning ,Computers in Industry ,2016,,http://dx.doi.org/10.1016/j.compind.2016.09.002,http://www.sciencedirect.com/science/article/pii/S0166361516301750,,83,,46 - 54,Carlos Mera and Mauricio Orozco-Alzate and John Branch and Domingo Mery
MERA BANGUERO CARLOS ANDRES,A survey on class imbalance learning on automatic visual inspection,IEEE Latin America Transactions,2014,,,,,12,4,657-667,"Mera, C. and Branch, J.W."
MERA BANGUERO CARLOS ANDRES,Using dispersion measures for determining block-size in-motion estimation | Usando medidas de dispersión para determinar el tamaño del bloque en la estimación de movimiento,DYNA (Colombia),2012,,,,,79,171,97-104,"Mera, C. and Trujillo, M."
MERA BANGUERO CARLOS ANDRES,ViRe-YouTube: Visualizando los resultados de búsquedas en YouTube,Avances en Sistemas e Informática,2009,,,,Escuela de Ingenieria de Sistemas,6,1,135--143,"Mera, Carlos and Therón, Roberto"
MERA BANGUERO CARLOS ANDRES,Usando Diferencias en la Estimación de Movimiento.,Revista Colombiana de Computación,2007,,,,,8,2,62--78,"Mera, Carlos and Trujillo, Maria"
SALAZAR SANCHEZ MARIA BERNARDA,"DISEÑO DE UN PROTOTIPO WEB PORTABLE PARA EL SENSADO, ADQUISICIÓN Y VISUALIZACIÓN DE DIFERENTES SEÑALES VÍA REMOTA",Encuentro Internacional de Educación en Ingeniería,2020,,,,,,,,"Agudelo, Juan Camilo Mesa and López, Carolina Rodríguez and Sánchez, María Bernarda Salazar"
SALAZAR SANCHEZ MARIA BERNARDA,Medical Learning Tool for Ventilator Weaning Protocols.,Revista EIA,2020,jun,10.24050/reia.v17i34.1416,https://doi.org/10.24050%2Freia.v17i34.1416,Universidad EIA,17,34,,Juan Camilo Mesa Agudelo and Maria Bernarda Salazar Sánchez
SALAZAR SANCHEZ MARIA BERNARDA,Modeling of Heart Rate Variability and Respiratory Muscle Activity in Organophosphate Poisoned Patients.,IEEE journal of biomedical and health informatics,2019,01,10.1109/jbhi.2019.2894758,,,,,,Salazar Sanchez MB and Hernandez AM and Manyanas MA and Cortes Daza C
SALAZAR SANCHEZ MARIA BERNARDA,Potential clinical application of surface electromyography as indicator of neuromuscular recovery during weaning tests after organophosphate poisoning.,Revista Brasileira de terapia intensiva,2017,,10.5935/0103-507X.20170035,,,,,,Sánchez MBS and Valdivieso AMH and Villanueva MÁM and Salazar AFZ
SALAZAR SANCHEZ MARIA BERNARDA,"Effect of peep increase on respiratory muscle activity assessed through surface electromyography in healthy subjects during spontaneous breathing,Efeito do incremento da PEEP na atividade muscular respiratória avaliado com eletromiografia de superfície em indivíduos saudáveis sob ventilação espontânea,Efecto del incremento de la PEEP en la actividad muscular respiratoria evaluado con electromiografía de superficie en individuos sanos bajo ventilación espontánea",Iatreia,2016,,,,,29,3,280-291,"Hernández-Valdivieso, A.M. and Salazar-Sánchez, M.B. and Muñoz-Ortega, I.C."
SALAZAR SANCHEZ MARIA BERNARDA,Virtual laboratory for simulation and learning of cardiovascular system function in BME studies,Revista Facultad de Ingeniería Universidad de Antioquia,2011,,,,Universidad de Antioquia,,60,194--201,"Valdivieso, Hernández and Mauricio, Alher and Salazar Sánchez, María Bernarda and Urrego Higuita, David Alexander and Costa Castelló, Ramon and Mañanas Villanueva, Miguel Ángel"
MUNERA RAMIREZ DANNY ALEXANDRO,DQ-MAN: A tool for multi-dimensional data quality analysis in IoT-based air quality monitoring systems,Internet of Things,2023,,10.1016/j.iot.2023.100769,https://bibliotecadigital.udea.edu.co/handle/10495/35075,,,,,Danny Munera
MUNERA RAMIREZ DANNY ALEXANDRO,Anomaly classification in industrial Internet of things: A review,Intelligent Systems with Applications,2023,,10.1016/j.iswa.2023.200232,https://doi.org/10.1016/j.iswa.2023.200232,,,,,Martha Rodríguez; Diana P. Tobón; Danny Múnera
MUNERA RAMIREZ DANNY ALEXANDRO,Data Quality in IoT-Based Air Quality Monitoring Systems: a Systematic Mapping Study,"Water, Air, & Soil Pollution",2023,,10.1007/s11270-023-06127-9,https://bibliotecadigital.udea.edu.co/handle/10495/35006,,,,,Danny Munera
MUNERA RAMIREZ DANNY ALEXANDRO,IoT-based air quality monitoring systems for smart cities: A systematic mapping study,International Journal of Electrical and Computer Engineering,2021,,,,,11,4,3470-3482,"Múnera, D. and Diana P. Tobón, V. and Aguirre, J. and Gómez, N.G."
MUNERA RAMIREZ DANNY ALEXANDRO,"UML2SC: A tool for developing complex electronic systems using UML and SystemC,UML2SC: Herramienta para el diseño de sistemas electrónicos complejos utilizando los lenguajes UML y SystemC",Revista Facultad de Ingenieria,2009,,,,,,48,165-173,"Correa, B.A. and Eusse, J.F. and Múnera, D. and Sepúlveda, S. and Vélez, J.F. and Aedo, J.E."
