docente,DOI,URL,año,editorial,paginas,autores,nombre_del_capitulo,nombre_del_libro
MERA BANGUERO CARLOS ANDRES,10.1007/978-3-030-99170-8_24,https://doi.org/10.1007%2F978-3-030-99170-8_24,2022,Springer International Publishing,332--344,Jaider Stiven Rincón and Carlos Mera and Rubén Fonnegra and Gloria M. Díaz,Analysis of~the~Generation of~a~Synthetic Response to~the~Application of~Contrast Agents in~Breast Medical Images Using Generative Adversarial Networks,"Smart Technologies, Systems and Applications"
MERA BANGUERO CARLOS ANDRES,,,2015,Springer,724--731,"Mera, Carlos and Arrieta, Jose and Orozco-Alzate, Mauricio and Branch, John",A Bag Oversampling Approach for Class Imbalance in Multiple Instance Learning,"Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications"
MERA BANGUERO CARLOS ANDRES,,,2015,,,"Arrieta, Jose and Mera, Carlos",Estudio Comparativo de Técnicas de Balanceo de Datos en el Aprendizaje de Múltiples Instancias,LACNEM2015 - Latin American Conference on Networked and Electronic Media
MERA BANGUERO CARLOS ANDRES,,,2010,,,"Mera, Carlos and Trujillo, Maria",Variable Block-Size for Motion Estimation,Latin-American Conference on Networked and Electronic Media
SALAZAR SANCHEZ MARIA BERNARDA,10.1007/978-3-030-61834-6_35,https://doi.org/10.1007%2F978-3-030-61834-6_35,2020,Springer International Publishing,409--419,Luis Felipe Buitrago-Castro and Maria Bernarda Salazar-Sánchez and Alher Mauricio Hernández-Valdivieso,Web Application for the Teaching of Anatomy and Physiology of the Respiratory System: Usability Measurement and Metrics,Communications in Computer and Information Science
SALAZAR SANCHEZ MARIA BERNARDA,10.1007/978-3-030-31019-6_54,https://doi.org/10.1007%2F978-3-030-31019-6_54,2019,Springer International Publishing,643--652,Maria Bernarda Salazar-Sánchez and Alher Mauricio Hernández-Valdivieso and Carolina Rodríguez-López and Juan Camilo Mesa-Agudelo and Isabel Cristina Muñoz-Ortega and Leidy Yaneth Serna-Higuita and Luis Felipe Buitrago-Castro,Areas with the Highest Use of Simulator for Health Education in Colombia,Communications in Computer and Information Science
SALAZAR SANCHEZ MARIA BERNARDA,,,2019,,,"Sánchez, María Bernarda Salazar and Valdivieso, Alher Mauricio Hernández",CARDIORESPIRATORY SYSTEM MODELING IN PATIENTS INTOXICATED WITH ORGANOPHOSPHORUS COMPOUNDS,Encuentro Internacional de Educación en Ingeniería 2019
SALAZAR SANCHEZ MARIA BERNARDA,10.1109/pahce.2015.7173350,http://dx.doi.org/10.1109/pahce.2015.7173350,2015,Institute of Electrical \& Electronics Engineers (IEEE),,I.C. Munoz and M.B. Salazar and A.M. Hernandez,Exploring the usefulness of surface electromyography to evaluate the effect of PEEP on respiratory muscle activity during spontaneous ventilation,2015 Pan American Health Care Exchanges (PAHCE)
SALAZAR SANCHEZ MARIA BERNARDA,10.1109/pahce.2015.7173341,http://dx.doi.org/10.1109/pahce.2015.7173341,2015,Institute of Electrical \& Electronics Engineers (IEEE),,M.B. Salazar Sanchez and A.M Hernandez and C. Cortes and A. Serpa and M.A. Mananas and Y. Agudelo,Respiratory muscle activity in patients with acute organophosphorus poisoning,2015 Pan American Health Care Exchanges (PAHCE)
SALAZAR SANCHEZ MARIA BERNARDA,,,2013,,722--725,"Urrego, DA and Salazar, MB and Arias, SL and Ardila, JE and Lemos, JD and Hernandez, AM",Prototipo de medidor metabólico portátil para aplicaciones en antropología biológica y ecología humana,"V Latin American Congress on Biomedical Engineering CLAIB 2011 May 16-21, 2011, Habana, Cuba"
MUNERA RAMIREZ DANNY ALEXANDRO,10.18687/laccei2021.1.1.662,https://doi.org/10.18687%2Flaccei2021.1.1.662,2021,Latin American and Caribbean Consortium of Engineering Institutions,,Stefanía Franco and Danny Múnera,Sistema Experto Difuso Para La Caracterización Del Riesgo En Salud Por Contaminación De Aire,"Proceedings of the 19th LACCEI International Multi-Conference for Engineering, Education, and Technology: \textquotedblleftProspective and trends in technology and skills for sustainable social development\textquotedblright \textquotedblleftLeveraging emerging technologies to construct the future\textquotedblright"
MUNERA RAMIREZ DANNY ALEXANDRO,10.1007/978-3-030-85672-4_22,https://doi.org/10.1007%2F978-3-030-85672-4_22,2021,Springer International Publishing,294--309,Jonathan Duque and Danny A. Múnera and Daniel Díaz and Salvador Abreu,Solving QAP with Auto-parameterization in Parallel Hybrid Metaheuristics,Communications in Computer and Information Science
MUNERA RAMIREZ DANNY ALEXANDRO,10.1109/scla53004.2021.9540154,https://doi.org/10.1109%2Fscla53004.2021.9540154,2021,IEEE,,Julio H. Buelvas P. and Fernando E. Avila B. and Natalia Gaviria G. and Danny A. Munera R.,Data Quality Estimation in a Smart City\textquotesingles Air Quality Monitoring IoT Application,2021 2nd Sustainable Cities Latin America Conference (SCLA)
ARIAS LONDOÑO JULIAN DAVID,10.1007/978-3-031-29783-0_2,https://doi.org/10.1007/978-3-031-29783-0_2,2023,,,Catalina Bustamante; Gabriel Castrillón; Julián Arias-Londoño,Classification of Focused Perturbations Using Time-Variant Functional Connectivity with rs-fmri,
ARIAS LONDOÑO JULIAN DAVID,10.1007/978-3-030-69774-7_7,https://doi.org/10.1007%2F978-3-030-69774-7_7,2021,Springer International Publishing,88--102,Angelower Santana-Velásquez and John Freddy Duitama M. and Julián D. Arias-Londoño,Automatic Classification of Diagnosis-Related Groups Using ANN and XGBoost Models,Applications of Computational Intelligence
ARIAS LONDOÑO JULIAN DAVID,10.1007/978-3-030-65654-6_6,https://doi.org/10.1007/978-3-030-65654-6_6,2020,,,Julián D. Arias-Londoño; Jorge A. Gómez-García,Predicting UPDRS Scores in Parkinson’s Disease Using Voice Signals: A Deep Learning/Transfer-Learning-Based Approach,
ARIAS LONDOÑO JULIAN DAVID,10.1007/978-3-030-36211-9_18,https://doi.org/10.1007/978-3-030-36211-9_18,2019,,,Johnnatan Jaramillo; Julián D. Arias-Londoño,Fail Detection in WfM/BPM Systems from Event Log Sequences Using HMM-Type Models,
ARIAS LONDOÑO JULIAN DAVID,,,2016,,199--207,"Vásquez-Correa, JC and  Orozco-Arroyave, JR and  Arias-Londono, JD and  Vargas-Bonilla, JF and  Nöth, Elmar",Non-linear Dynamics Characterization from Wavelet Packet Transform for Automatic Recognition of Emotional Speech,Recent Advances in Nonlinear Speech Processing
ARIAS LONDOÑO JULIAN DAVID,,,2016,,199-207,"Vásquez-Correa, J.C. and Orozco-Arroyave, J.R. and Arias-Londoño, J.D. and Vargas-Bonilla, J.F. and N\""oth, E.",Non-linear dynamics characterization fromwavelet packet transform for automatic recognition of emotional speech,
ARIAS LONDOÑO JULIAN DAVID,,,2016,,6490-6494,"Orozco-Arroyave, J. R. and  Vasquez-Correa, J. C. and  Hoenig, F. and  Arias-Londono, J. D. and  Vargas-Bonilla, If. and  Skodda, S. and  Rusz, J. and  Noeth, E. and  IEEE",TOWARDS AN AUTOMATIC MONITORING OF THE NEUROLOGICAL STATE OF PARKINSON'S PATIENTS FROM SPEECH,"2016 Ieee International Conference on Acoustics, Speech and Signal Processing Proceedings"
