docente,titulo,pais,revista,año,mes,paginas,editorial,DOI,ISSN,URL,volumen,numero,autores,cuartil_revista
ALVAREZ ERASO DANNY ALEJANDRO,A PROPOSAL FOR THE FORMALIZATION OF THE CLASS DIAGRAM IN MAUDE LANGUAGE,Colombia,REVISTA POLITECNICA,2016,,39 - 50,Escuela Politecnica Nacional,,1390-0129,,,,,
ALVAREZ ERASO DANNY ALEJANDRO,"AN ANALYSIS OF XSS, CSRF AND SQL INJECTION IN COLOMBIAN SOFTWARE AND WEB SITE DEVELOPMENT",Colombia,TELEMATICS AND INFORMATICS,2016,,1 - 5,Elsevier,10.1109/EATIS.2016.7520140,0736-5853,,,,,Q1
ALVAREZ ERASO DANNY ALEJANDRO,HIBERNATE AND SPRING - AN ANALYSIS OF MAINTAINABILITY AGAINST PERFORMANCE,Colombia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD DE ANTIOQUIA,2016,,97 - 107,Universidad De Antioquia,10.17533/udea.redin.n80a11,0120-6230,,,,,Q3
ARIAS LONDOÑO JULIAN DAVID,A VOICE AND SPEECH CORPUS OF PATIENTS WHO UNDERWENT UPPER AIRWAY SURGERY IN PRE- AND POST-OPERATIVE STATES,,Scientific Data,2024,,,,10.1038/s41597-024-03540-5,,https://doi.org/10.1038/s41597-024-03540-5,,,Estefanía Hernández-García; Alejandro Guerrero-López; Julián D. Arias-Londoño; Juan I. Godino-Llorente,Q1
ARIAS LONDOÑO JULIAN DAVID,ADVANCES IN PARKINSON'S DISEASE DETECTION AND ASSESSMENT USING VOICE AND SPEECH: A REVIEW OF THE ARTICULATORY AND PHONATORY ASPECTS,,Biomedical Signal Processing and Control,2021,,,,,,,66.0,,"Moro-Velazquez, L. and Gomez-Garcia, J.A. and Arias-Londoño, J.D. and Dehak, N. and Godino-Llorente, J.I.",Q1
ARIAS LONDOÑO JULIAN DAVID,ANALYSIS OF THE CLEVER HANS EFFECT IN COVID-19 DETECTION USING CHEST X-RAY IMAGES AND BAYESIAN DEEP LEARNING,,Biomedical Signal Processing and Control,2024,,,,10.1016/j.bspc.2023.105831,,https://doi.org/10.1016/j.bspc.2023.105831,,,Julián D. Arias-Londoño; Juan I. Godino-Llorente,Q1
ARIAS LONDOÑO JULIAN DAVID,ARTIFICIAL INTELLIGENCE APPLIED TO CHEST X-RAY IMAGES FOR THE AUTOMATIC DETECTION OF COVID-19. A THOUGHTFUL EVALUATION APPROACH,,IEEE Access,2020,,226811--226827,Institute of Electrical and Electronics Engineers (IEEE),10.1109/access.2020.3044858,,https://doi.org/10.1109%2Faccess.2020.3044858,8.0,,Julian D. Arias-Londono and Jorge A. Gomez-Garcia and Laureano Moro-Velazquez and Juan I. Godino-Llorente,Q1
ARIAS LONDOÑO JULIAN DAVID,AUTOMATIC DETECTION OF PARKINSON'S DISEASE IN RUNNING SPEECH SPOKEN IN THREE DIFFERENT LANGUAGES,,The Journal of the Acoustical Society of America,2016,,481--500,,,,,139.0,1,"Orozco-Arroyave, JR and  Hönig, F and  Arias-Londono, JD and  Vargas-Bonilla, JF and  Daqrouq, K and  Skodda, S and  Rusz, J and  Nöth, E",Q1
ARIAS LONDOÑO JULIAN DAVID,AUTOMATIC EMOTION RECOGNITION IN COMPRESSED SPEECH USING ACOUSTIC AND NON-LINEAR FEATURES,,"2015 20th Symposium on Signal Processing, Images and Computer Vision (Stsiva)",2015,,,,,,,,,"Garcia, N. and  Vasquez-Correa, J. C. and  Arias-Londono, J. D. and  Vargas-Bonilla, J. F. and  Orozco-Arroyave, J. R.",
ARIAS LONDOÑO JULIAN DAVID,AUTOMATIC IDENTIFICATION OF LUNG OPACITIES DUE TO COVID-19 FROM CHEST X-RAY IMAGES—FOCUSSING ATTENTION ON THE LUNGS,,Diagnostics,2023,,,,10.3390/diagnostics13081381,,https://doi.org/10.3390/diagnostics13081381,,,Julián D. Arias-Londoño; Álvaro Moure-Prado; Juan I. Godino-Llorente,Q2
