docente,titulo,revista,año,volumen,paginas,autores,cuartil_revista
SALAZAR SANCHEZ MARIA BERNARDA,Learning tool for mechanical ventilation during spontaneous breathing test on patients intoxicated with pesticides,IFMBE Proceedings,2017,60,248-251,"Salazar Sánchez, M.B. and Hernández Valdivieso, A.M. and Botero Ospina, A.F. and Cortés Daza, C.C.",
MUNERA RAMIREZ DANNY ALEXANDRO,On integrating population-based metaheuristics with cooperative parallelism,"Proceedings - 2018 IEEE 32nd International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2018",2018,,601-608,"Lopez, J. and Munera, D. and Diaz, D. and Abreu, S.",
MUNERA RAMIREZ DANNY ALEXANDRO,Solving hard stable matching problems via local search and cooperative parallelization,Proceedings of the National Conference on Artificial Intelligence,2015,2,1212-1218,"Munera, D. and Diaz, D. and Abreu, S. and Rossi, F. and Saraswat, V. and Codognet, P.",
MUNERA RAMIREZ DANNY ALEXANDRO,Flexible cooperation in parallel local search,Proceedings of the ACM Symposium on Applied Computing,2014,,1360-1361,"Munera, D. and Diaz, D. and Abreu, S. and Codognet, P.",
MUNERA RAMIREZ DANNY ALEXANDRO,Towards parallel constraint-based local search with the X10 language,Technische Berichte des Instituts fur Informatik der Christian-Albrechts-Universitat zu Kiel,2013,,168-182,"Munera, D. and Diaz, D. and Abreu, S.",
MUNERA RAMIREZ DANNY ALEXANDRO,A framework for simulation and evaluation of cross-layer techniques in wireless sensor networks,"2011 2nd National Conference on Telecommunications, CONATEL 2011 - Proceedings",2011,,,"Múnera, D.A. and Gaviria, N.",
MUNERA RAMIREZ DANNY ALEXANDRO,High level System-on-Chip design using UML and SystemC,"Electronics, Robotics and Automotive Mechanics Conference, CERMA 2007 - Proceedings",2007,,740-745,"Correa, B.A. and Eusse, J.F. and Muñera, D. and Aedo, J.E. and Vélez, J.F.",
ARIAS LONDOÑO JULIAN DAVID,Classification of Diagnosis-Related Groups using Computational Intelligence Techniques,"2020 IEEE Colombian Conference on Applications of Computational Intelligence, ColCACI 2020 - Proceedings",2020,,,"Santana-Velasquez, A. and John Freddy Duitama, M. and Arias-Londono, J.D.",
ARIAS LONDOÑO JULIAN DAVID,Automatic classification of event logs sequences for failure detection in WfM/BPM systems,"2019 IEEE Colombian Conference on Applications in Computational Intelligence, ColCACI 2019 - Proceedings",2019,,,"Jaramillo, J. and Arias, J.",
ARIAS LONDOÑO JULIAN DAVID,ByoVoz Automatic Voice Condition Analysis System for the 2018 FEMH Challenge,"Proceedings - 2018 IEEE International Conference on Big Data, Big Data 2018",2019,,5228-5232,"Arias-Londoño, J.D. and Gómez-García, J.A. and Moro-Velazquez, L. and Godino-Llorente, J.I.",
ARIAS LONDOÑO JULIAN DAVID,MapReduce and Spark-based architecture for bi-class classification using SVM,"2018 IEEE 1st Colombian Conference on Applications in Computational Intelligence, ColCACI 2018 - Proceedings",2018,,,"Giraldo, M.A. and Duitama, J.F. and Arias-Londoño, J.D.",
