docente,nombre_del_capitulo,nombre_del_libro,pais,año,editorial,paginas,ISBN,DOI,URL,autores
ARIAS LONDONO JULIAN DAVID,AUTOMATIC CLASSIFICATION OF DIAGNOSIS-RELATED GROUPS USING ANN AND XGBOOST MODELS,Applications of Computational Intelligence,Alemania,2021,Springer International Publishing,88--102,978-3-030-69773-0,10.1007/978-3-030-69774-7_7,https://doi.org/10.1007%2F978-3-030-69774-7_7,Angelower Santana-Velásquez and John Freddy Duitama M. and Julián D. Arias-Londoño
ARIAS LONDONO JULIAN DAVID,CLASSIFICATION OF FOCUSED PERTURBATIONS USING TIME-VARIANT FUNCTIONAL CONNECTIVITY WITH RS-FMRI,Applications of Computational Intelligence. ColCACI 2022. Communications in Computer and Information Science .,Alemania,2023,Springer-Verlag Berlin/Heidelberg,18 - 30  1746,978-3-031-29783-0,10.1007/978-3-031-29783-0_2,https://doi.org/10.1007/978-3-031-29783-0_2,Catalina Bustamante; Gabriel Castrillón; Julián Arias-Londoño
ARIAS LONDONO JULIAN DAVID,FAIL DETECTION IN WFM/BPM SYSTEMS FROM EVENT LOG SEQUENCES USING HMM-TYPE MODELS,ColCACI 2019: Applications of Computational Intelligence .,Estados Unidos,2019,Springer Verlag Publishing Company,223 - 234  CIS,978-3-030-36211-9,10.1007/978-3-030-36211-9_18,https://doi.org/10.1007/978-3-030-36211-9_18,Johnnatan Jaramillo; Julián D. Arias-Londoño
ARIAS LONDONO JULIAN DAVID,PREDICTING UPDRS SCORES IN PARKINSON'S DISEASE USING VOICE SIGNALS: A DEEP LEARNING/TRANSFER-LEARNING-BASED APPROACH,Automatic Assessment of Parkinsonian Speech .,Alemania,2020,Springer-Verlag Berlin/Heidelberg,100 - 123  N/A,978-3-030-65653-9,10.1007/978-3-030-65654-6_6,https://doi.org/10.1007/978-3-030-65654-6_6,Julián D. Arias-Londoño; Jorge A. Gómez-García
BOTIA VALDERRAMA JAVIER FERNANDO,Q-MEANS CLUSTERING COHERENT NOISE TOLERANCE ANALYSIS,Engineering for Transformation .,Colombia,2022,Fondo Editorial EIA,437 - 443,978-628-95287-1-8,,,
DUITAMA MUNOZ JOHN FREDDY,AUTOMATIC CLASSIFICATION OF DIAGNOSIS-RELATED GROUPS USING ANN AND XGBOOST MODELS,Applications of Computational Intelligence,Colombia,2021,Springer International Publishing,88--102,978-3-030-69774-7,10.1007/978-3-030-69774-7_7,https://doi.org/10.1007%2F978-3-030-69774-7_7,Angelower Santana-Velásquez and John Freddy Duitama M. and Julián D. Arias-Londoño
DUITAMA MUNOZ JOHN FREDDY,CLASSIFICATION OF DIAGNOSIS-RELATED GROUPS USING COMPUTATIONAL INTELLIGENCE TECHNIQUES,2020 IEEE Colombian Conference on Applications of Computational Intelligence (IEEE ColCACI 2020),,2020,IEEE,,,10.1109/colcaci50549.2020.9247889,https://doi.org/10.1109%2Fcolcaci50549.2020.9247889,Angelower Santana-Velasquez and M. John Freddy Duitama and Julian D. Arias-Londono
DUITAMA MUNOZ JOHN FREDDY,MACHINE LEARNING-BASED APPROACH TO DETECT ONLINE PERFORMANCE PROBLEMS IN DISTRIBUTED SYSTEMS,2019 Congreso Internacional de Innovación y Tendencias en Ingenieria (CONIITI ),,2019,IEEE,,,10.1109/coniiti48476.2019.8960794,https://doi.org/10.1109%2Fconiiti48476.2019.8960794,Jorge Andres Baena and John Freddy Duitama
DUITAMA MUNOZ JOHN FREDDY,ONE-YEAR MORTALITY PREDICTION IN ICU PATIENTS WITH DIAGNOSIS OF SEPSIS DRIVEN BY POPULATION SIMILARITIES,2019 IEEE 19th International Conference on Bioinformatics and Bioengineering (BIBE),,2019,IEEE,,,10.1109/bibe.2019.00093,https://doi.org/10.1109%2Fbibe.2019.00093,J.E Garcia-Gallo and N.J Fonseca-Ruiz and L.A Celi and J.F Duitama-Munoz
MAESTRE GONGORA GINA PAOLA,DATA VISUALIZATION GUIDE FOR SMART CITY TECHNOLOGIES,,,2022,,,,10.1007/978-3-031-22950-3_14,https://doi.org/10.1007/978-3-031-22950-3_14,Teresa Cepero; Luis G. Montané-Jiménez; Gina Paola Maestre-Góngora
